ABM missile,ABM,
absolutely certain,certain,
absolute certainty,certainty,
absolutely essential,essential,
advance planning,planning,
advance warning,warning,
all-time record,record,
ATM machine,ATM,
blend together,blend,
cameo appearance,cameo,
cameo role,cameo,
capitol building,capitol,
closed fist,fist,
close proximity,proximity,
CNN network,CNN,
consensus of opinion,consensus,
general consensus,consensus,
continue on,continue,
continues on,continues,
depreciated in value,depreciated,
direct confrontation,confrontation,
disappear from sight,disappear,
earlier in time,earlier,
end product,product,
equally as,(pick either equally or as),
erupt violently,erupt,
explode violently,explode,
exact same,"(exact, or same or if I must exactly the same)",
fall down,fall,
fellow contryman,countryman,
fetch back,fetch,
few in number,few,
fiction novel,novel,
final outcome,outcome,
follow after,follow,
free gift,gift,
from whence,whence,
frontispiece illustration,frontispiece,
full gamut,gamut,
fuse together,fuse,
future plans,plans,
gather together,gather,
glance briefly,glance,
HIV virus,HIV,
hollow tube,tube,
hourly basis,hourly,
daily basis,daily,
weekly basis,weekly,
yearly basis,yearly,
quarterly basis,quarterly,
integrate with each other,integrate,
interdependent upon each other,interdependent,
join together,join,
kneel down,kneel,
knots per hour,knots,
last of all,last,
lesbian woman,lesbian,
lift up,lift,
low ebb,ebb,
main protagonist,protagonist,
merge together,merge,
might possibly,might,
mutual cooperation,cooperation,
orbit around,orbit,
overexaggerate,exaggerate,
passing fad,fad,
past history,history,
personal,*personal*,
PIN number,PIN,
plan ahead,plan,
raise up,raise,
reason why,reason,
regular routine,routine,
rise up,rise,
short in length,short,
shuttle back and forth,shuttle,
sink down,sink,
skirt around,skirt,
sudden impulse,impulse,
surrounded on all sides,surrounded,
swoop down,swoop,
sworn affadavit,affidavit,
undergraduate student,undergraduate,
unexpected surprise,surprise,
unsolved mystery,mystery,
unthaw,thaw,
usual custom,custom,
wall mural,mural,
wall sconce,sconce,
